Name,Use,Localisation,CoverYear,NbClass,ClassName,NbImage,PixelSize,Spatial Resolution (m),Nb Bands,Spectral Resolution,Reference
aerial image dataset (AID),"[""Land Classification""]","[""China"", ""USA"", ""England"", ""France"", ""Italy"", ""Japan"", ""Germany""]",-,30,"[""Airport"", ""Bare Land"", ""Baseball Field"", ""Beach"", ""Bridge"", ""Center"", ""Church"", ""Commercial"", ""Dense Residential"", ""Desert"", ""Farmland"", ""Forest"", ""Industrial"", ""Meadow"", ""Medium Residential"", ""Mountain"", ""Park"", ""Parking"", ""Playground"", ""Pond"", ""Port"", ""Railway Station"", ""Resort"", ""River"", ""School"", ""Sparse Residential"", ""Square"", ""Stadium"", ""Storage Tanks"", ""Viaduct""]",10000,"[""600 x 600""]","[""0.5"",""8""]",3,"[""Blue"", ""Green"", ""Red""]",AID: A Benchmark Dataset for Performance Evaluation of Aerial Scene Classification
ReforestTree,"[""Carbon Stock""]","[""Ecuador""]",2020,6,"[""banana "",""cacao "",""other "",""other"",""citrus"",""fruit"",""timber""]",100,"[""4000 x 4000""]","[""0.02""]",3,"[""Blue"", ""Green"", ""Red""]",ReforesTree: A Dataset for Estimating Tropical Forest Carbon Stock with Deep Learning and Aerial Imagery
BigEarthNet,"[""Land Classification""]","[""Austria"", ""Belgium"", ""Finland"", ""Ireland"", ""Kosovo"", ""Lithuania"", ""Luxembourg"", ""Portugal"", ""Serbia"", ""Switzerland""]",2017-2018,43,"[""Mixed Forest"", ""Coniferous Forest"", ""Non-irrigated Arable Land"", ""Transitional Woodland/Shrub"", ""Broad-leaved Forest"", ""Land Principally Occupied by Agriculture with Significant Areas of Natural Vegetation"", ""Complex Cultivation Patterns"", ""Pastures"", ""Water Bodies"", ""Sea and Ocean"", ""Discontinuous Urban Fabric"", ""Agro-forestry Areas"", ""Peatbogs"", ""Permanently Irrigated Land"", ""Industrial or Commercial Units"", ""Natural Grassland"", ""Olive Groves"", ""Sclerophyllous Vegetation"", ""Continuous Urban Fabric"", ""Water Courses"", ""Vineyards"", ""Annual Crops Associated with Permanent Crops"", ""Inland Marshes"", ""Moors and Heathland"", ""Sport and Leisure Facilities"", ""Fruit Trees and Berry Plantations"", ""Mineral Extraction Sites"", ""Rice Fields"", ""Road and Rail Networks and Associated Land"", ""Bare Rock"", ""Green Urban Areas"", ""Beaches, Dunes, Sands"", ""Sparsely Vegetated Areas"", ""Salt Marshes"", ""Coastal Lagoons"", ""Construction Sites"", ""Estuaries"", ""Intertidal Flats"", ""Airports"", ""Dump Sites"", ""Port Areas"", ""Salines"", ""Burnt Areas""]",590326,"[""120 x 120"", ""60 x 60"", ""20 x 20""]","[""10"",""20"",""60""]",12,"[""Aerosols"", ""Blue"", ""Green"", ""Red"", ""Red edge 1"", ""Red edge 2"", ""Red edge 3"", ""NIR"", ""Red edge 4"", ""Cirrus"", ""SWIR 1"", ""SWIR 2""]",Bigearthnet: A Large-Scale Benchmark Archive for Remote Sensing Image Understanding
RSI-CB,"[""Land Classification""]","[""Worldwide""]",-,35,"[""Airplane"", ""Dry Farm"", ""River"", ""Airport Runway"", ""Forest"", ""River Protection Forest"", ""Artificial Grassland"", ""Green Farmland"", ""Sandbeach"", ""Avenue"", ""Highway"", ""Sapling"", ""Bare Land"", ""Hirst"", ""Sea"", ""Bridge"", ""Lakeshore"", ""Shrubwood"", ""City Building"", ""Mangrove"", ""Snow Mountain"", ""Coast Line"", ""Marina"", ""Sparse Forest"", ""Container"", ""Mountain"", ""Storage Room"", ""Crossroads"", ""Parking Lot"", ""Stream"", ""Dam"", ""Pipeline"", ""Town"", ""Desert"", ""Residents""]",24747,"[""256 x 256""]","[""0.22"",""3""]",0,[],RSI-CB: A Large-Scale Remote Sensing Image Classification Benchmark Using Crowdsourced Data
Sen-2 LULC Dataset,"[""Land Classification""]","[""Indian""]",2021,6,"[""Unclassified"", ""Water Bodies"", ""Dense Forests"", ""Sparse Forests"", ""Barren Land"", ""Built-up Areas"", ""Agricultural Land"", ""Fallow Land""]",213761,"[""64 x 64""]","[""10""]",3,"[""Blue"", ""Green"", ""Red""]",Sen-2 LULC: Land use land cover dataset for deep learning approaches
LiDAR 2019 - Modèle numérique de la surface (MNS),[],"[""Luxembourg""]",2019,0,[],0,[],"[""0.5""]",3,"[""Blue"", ""Green"", ""Red""]",https://data.public.lu/fr/datasets/lidar-2019-modele-numerique-de-la-surface-mns/#resources
"Orthophoto technique du Grand-Duché de Luxembourg, édition 2019 hiver",[],"[""Luxembourg""]",2019,0,[],0,[],[],3,"[""Blue"", ""Green"", ""Red""]",https://data.public.lu/fr/datasets/orthophoto-technique-du-grand-duche-de-luxembourg-edition-2019-hiver/#community-discussions
SEN12MS (triplet),"[""Land Classification""]","[""Worldwide""]",2016-2017,33,"[""Evergreen Needleleaf Forests"", ""Evergreen Broadleaf Forests"", ""Deciduous Needleleaf Forests"", ""Deciduous Broadleaf Forests"", ""Mixed Broadleaf/Needleleaf Forests"", ""Mixed Broadleaf Evergreen/Deciduous Forests"", ""Mixed Forests"", ""Dense Forests"", ""Open Forests"", ""Sparse Forests"", ""Natural Herbaceous"", ""Dense Herbaceous"", ""Sparse Herbaceous"", ""Shrublands"", ""Closed (Dense) Shrublands"", ""Open (Sparse) Shrublands"", ""Shrubland/Grassland Mosaics"", ""Woody Savannas"", ""Savannas"", ""Grasslands"", ""Permanent Wetlands"", ""Woody Wetlands"", ""Herbaceous Wetlands"", ""Herbaceous Croplands"", ""Croplands"", ""Urban and Built-Up Lands"", ""Cropland/Natural Vegetation Mosaics"", ""Forest/Cropland Mosaics"", ""Natural Herbaceous/Croplands Mosaics"", ""Tundra"", ""Permanent Snow and Ice"", ""Barren"", ""Water Bodies""]",180662,"[""256 x 256""]","[""10"",""100"",""500""]",19,"[""Aerosols"", ""Blue"", ""Green"", ""Red"", ""Red edge 1"", ""Red edge 2"", ""Red edge 3"", ""NIR"", ""Red edge 4"", ""Water vapor"", ""Cirrus"", ""SWIR 1"", ""SWIR 2"", ""VV"", ""VH"", ""IGBP"", ""LCCS Land Cover"", ""LCCS Land Use"", ""LCCS Surface Hydrology""]",SEN12MS -- A Curated Dataset of Georeferenced Multi-Spectral Sentinel-1/2 Imagery for Deep Learning and Data Fusion
DeepGlobe 2018,"[""Land Classification""]",[],-,7,"[""Urban"", ""Agriculture"", ""Rangeland"", ""Forest"", ""Water"", ""Barren"", ""Unknown""]",1146,"[""2448 x 2448""]","[""0.5""]",3,"[""Blue"", ""Green"", ""Red""]",DeepGlobe 2018: A Challenge to Parse the Earth through Satellite Images
Brazilian Cerrado-Savanna Scenes Dataset,"[""Land Classification""]","[""Brazil""]",-,4,"[""Agriculture"", ""Arboreal Vegetation"", ""Herbaceous Vegetation"", ""Shrubby Vegetation""]",1311,"[""64 x 64""]","[""0.05""]",3,"[""Green"", ""Red"", ""NIR""]",Towards vegetation species discrimination by using data-driven descriptors
SEN1-2,"[""Land Classification""]","[""Worldwide""]",-,0,[],282384,"[""256 x 256""]","[""5""]",3,"[""Blue"", ""Green"", ""Red""]",The SEN1-2 Dataset for Deep Learning in SAR-Optical Data Fusion
BioMasster,"[""Forest AGB Estimation""]","[""Finland""]",-,3,"[""Low"", ""Medium"", ""High""]",310000,"[""256 x 256""]","[""10""]",12,"[""Blue"", ""Green"", ""Red"", ""Red edge 1"", ""Red edge 2"", ""Red edge 3"", ""NIR"", ""Cirrus"", ""SWIR 1"", ""SWIR 2""]",BioMassters: A Benchmark Dataset for Forest Biomass Estimation using Multi-modal Satellite Time-series
DryForest,"[""Trees Detection"", ""Forest AGB Estimation"", ""Biodiversity Assessments""]","[""Álamos"", ""Sonora"", ""Mexico""]",2023,0,[],1116,"[""1300 x 1600""]","[""0.06""]",5,"[""Blue"", ""Green"", ""Red"", ""Red edge 1"", ""NIR""]",High resolution image dataset by RGB and multispectral cameras on an unmanned aerial vehicle over a secondary tropical dry forest https://data.mendeley.com/datasets/rrs7ctswft/2
Forest Change,"[""Forest Change""]","[""Worldwide""]",2000-2022,0,[],0,[],"[""30""]",0,[],High-Resolution Global Maps of 21st-Century Forest Cover Change https://storage.googleapis.com/earthenginepartners-hansen/GFC-2022-v1.10/download.html
NAIP Trees,"[""Trees Detection""]","[""California""]","2016,2018,2020 ",1,"[""Tree""]","1,651","[""256 x 256""]","[""0.6""]",4,"[""Blue"", ""Green"", ""Red"", ""NIR""]",Individual Tree Detection in Large-Scale Urban Environments using High-Resolution Multispectral Imagery
